Match,Team 1,Team 2,Date,Time,Season
Match 26,Chennai Super Kings,Deccan Chargers,2008-05-06,8:00 pm,2008
Match 27,Mumbai Indians,Rajasthan Royals,2008-05-07,8:00 pm,2008
Match 28,Delhi Daredevils,Chennai Super Kings,2008-05-08,4:00 pm,2008
Match 29,Kolkata Knight Riders,Royal Challengers Bangalore,2008-05-08,8:00 pm,2008
Match 30,Rajasthan Royals,Deccan Chargers,2008-05-09,8:00 pm,2008
Match 31,Chennai Super Kings,Punjab Kings,2008-05-10,8:00 pm,2008
Match 32,Deccan Chargers,Kolkata Knight Riders,2008-05-11,4:00 pm,2008
Match 33,Rajasthan Royals,Delhi Daredevils,2008-05-11,8:00 pm,2008
Match 34,Punjab Kings,Royal Challengers Bangalore,2008-05-12,8:00 pm,2008
Match 35,Kolkata Knight Riders,Delhi Daredevils,2008-05-13,8:00 pm,2008
Match 36,Mumbai Indians,Chennai Super Kings,2008-05-14,8:00 pm,2008
Match 37,Delhi Daredevils,Deccan Chargers,2008-05-15,8:00 pm,2008
Match 38,Mumbai Indians,Kolkata Knight Riders,2008-05-16,8:00 pm,2008
Match 39,Rajasthan Royals,Royal Challengers Bangalore,2008-05-17,4:00 pm,2008
Match 40,Delhi Daredevils,Punjab Kings,2008-05-17,8:00 pm,2008
Match 41,Kolkata Knight Riders,Chennai Super Kings,2008-05-18,4:00 pm,2008
Match 42,Deccan Chargers,Mumbai Indians,2008-05-18,8:00 pm,2008
Match 43,Royal Challengers Bangalore,Delhi Daredevils,2008-05-19,8:00 pm,2008
Match 44,Kolkata Knight Riders,Rajasthan Royals,2008-05-20,8:00 pm,2008
Match 45,Mumbai Indians,Punjab Kings,2008-05-21,4:00 pm,2008
Match 46,Chennai Super Kings,Royal Challengers Bangalore,2008-05-21,8:00 pm,2008
Match 47,Delhi Daredevils,Kolkata Knight Riders,2008-05-22,8:00 pm,2008
Match 48,Punjab Kings,Deccan Chargers,2008-05-23,8:00 pm,2008
Match 49,Chennai Super Kings,Rajasthan Royals,2008-05-24,4:00 pm,2008
